Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN, v p n
DNS, d n s
URL, u r l
Xcode
Max/MSP, max m s p
Mei-Fang, may fung
aBe
Brit
Ableton
git
C++, c plus plus
Vimeo
